iter	Passed	Remaining
477	655	716
478	657	715
479	658	713
480	659	711
481	660	710
482	661	708
483	662	706
484	663	704
485	664	703
486	665	701
487	666	699
488	668	698
489	669	696
490	670	695
491	671	693
492	672	691
493	673	690
494	674	688
495	676	687
496	677	685
497	678	683
498	679	682
499	680	680
500	681	678
501	682	676
502	683	675
503	684	673
504	685	671
505	686	670
506	687	668
507	688	666
508	689	665
509	690	663
510	691	662
511	693	660
512	694	659
513	695	657
514	696	656
515	697	654
516	698	652
517	699	651
518	700	649
519	701	647
520	703	646
521	704	644
522	705	643
523	707	642
524	708	641
525	709	639
526	711	638
527	712	636
528	713	635
529	714	633
530	715	632
531	716	630
532	717	629
533	719	627
534	720	625
535	721	624
536	722	622
537	723	621
538	724	619
539	725	617
540	726	616
541	727	614
542	729	613
543	730	612
544	731	610
545	732	609
546	733	607
547	734	606
548	736	604
549	737	603
550	738	601
551	739	600
552	741	599
553	742	597
554	743	595
555	744	594
556	744	592
557	745	590
558	747	589
559	748	587
560	749	586
561	750	584
562	751	583
563	752	581
564	753	580
565	754	578
566	755	576
567	756	575
568	757	573
569	758	572
570	759	570
571	761	569
572	762	568
573	763	566
574	764	564
575	765	563
576	766	562
577	767	560
578	768	558
579	769	557
580	771	556
581	772	554
582	773	553
583	774	551
584	775	550
585	776	548
586	777	547
587	778	545
588	779	544
589	780	542
590	781	541
591	782	539
592	784	538
593	785	536
594	786	535
595	787	533
596	788	532
597	789	530
598	790	529
599	791	527
600	792	526
601	793	524
602	794	523
603	795	521
604	797	520
605	798	519
606	799	517
607	800	516
608	801	514
609	802	513
610	803	511
611	805	510
612	806	508
613	807	507
614	808	506
615	809	504
616	810	503
617	811	501
618	813	500
619	814	498
620	815	497
621	816	496
622	818	495
623	818	493
624	820	492
625	821	490
626	822	489
627	823	487
628	824	486
629	825	484
630	826	483
631	827	481
632	828	480
633	829	479
634	830	477
635	831	476
636	833	474
637	834	473
638	835	471
639	836	470
640	837	469
641	838	467
642	839	466
643	840	464
644	842	463
645	843	462
646	844	460
647	845	459
648	846	457
649	847	456
650	848	454
651	849	453
652	850	452
653	851	450
654	852	449
655	854	447
656	855	446
657	856	444
658	857	443
659	858	442
660	859	440
661	860	439
662	861	438
663	862	436
664	863	435
665	864	433
666	866	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	872	424
673	873	422
674	874	421
675	875	419
676	876	418
677	877	416
678	878	415
679	879	413
680	880	412
681	881	411
682	882	409
683	883	408
684	885	406
685	885	405
686	886	404
687	888	402
688	889	401
689	890	399
690	891	398
691	892	397
692	893	395
693	894	394
694	895	393
695	896	391
696	898	390
697	899	389
698	900	387
699	901	386
700	902	385
701	903	383
702	905	382
703	906	381
704	907	379
705	908	378
706	909	376
707	910	375
708	911	374
709	913	372
710	914	371
711	915	370
712	917	369
713	918	367
714	919	366
715	920	365
716	921	363
717	923	362
718	924	361
719	925	359
720	926	358
721	927	357
722	929	355
723	930	354
724	931	353
725	932	351
726	933	350
727	934	349
728	935	347
729	936	346
730	937	345
731	938	343
732	939	342
733	940	340
734	941	339
735	943	338
736	944	336
737	945	335
738	946	334
739	947	332
740	948	331
741	949	330
742	951	328
743	952	327
744	953	326
745	954	324
746	955	323
747	956	322
748	957	320
749	958	319
750	959	318
751	960	316
752	962	315
753	963	314
754	964	312
755	965	311
756	966	310
757	967	308
758	968	307
759	970	306
760	971	305
761	972	303
762	973	302
763	975	301
764	976	299
765	977	298
766	978	297
767	979	295
768	980	294
769	981	293
770	982	291
771	983	290
772	984	289
773	985	287
774	986	286
775	988	285
776	989	283
777	990	282
778	991	281
779	992	279
780	993	278
781	994	277
782	995	275
783	996	274
784	997	273
785	998	271
786	999	270
787	1000	269
788	1001	267
789	1002	266
790	1003	265
791	1004	263
792	1006	262
793	1007	261
794	1008	259
795	1009	258
796	1010	257
797	1011	256
798	1012	254
799	1013	253
800	1014	252
801	1015	250
802	1016	249
803	1018	248
804	1019	246
805	1020	245
806	1021	244
807	1023	243
808	1024	241
809	1025	240
810	1026	239
811	1027	237
812	1028	236
813	1029	235
814	1030	233
815	1031	232
816	1032	231
817	1033	230
818	1034	228
819	1035	227
820	1036	226
821	1038	224
822	1039	223
823	1040	222
824	1041	220
825	1042	219
826	1042	218
827	1044	216
828	1045	215
829	1046	214
830	1047	212
831	1048	211
832	1049	210
833	1051	209
834	1052	207
835	1053	206
836	1054	205
837	1055	203
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1060	197
843	1061	196
844	1062	194
845	1063	193
846	1064	192
847	1065	191
848	1066	189
849	1067	188
850	1068	187
851	1069	185
852	1070	184
853	1071	183
854	1072	181
855	1073	180
856	1074	179
857	1075	178
858	1077	176
859	1077	175
860	1078	174
861	1080	172
862	1081	171
863	1082	170
864	1083	169
865	1084	167
866	1085	166
867	1087	165
868	1088	164
869	1089	162
870	1090	161
871	1091	160
872	1092	158
873	1093	157
874	1094	156
875	1095	155
876	1096	153
877	1097	152
878	1098	151
879	1099	149
880	1100	148
881	1101	147
882	1102	146
883	1103	144
884	1104	143
885	1105	142
886	1106	141
887	1108	139
888	1109	138
889	1110	137
890	1111	135
891	1112	134
892	1113	133
893	1114	132
894	1115	130
895	1116	129
896	1117	128
897	1118	127
898	1119	125
899	1120	124
900	1121	123
901	1122	121
902	1123	120
903	1124	119
904	1125	118
905	1126	116
906	1127	115
907	1129	114
908	1130	113
909	1131	111
910	1132	110
911	1133	109
912	1134	108
913	1136	106
914	1137	105
915	1138	104
916	1139	103
917	1140	101
918	1141	100
919	1142	99
920	1143	98
921	1144	96
922	1146	95
923	1146	94
924	1148	93
925	1149	91
926	1150	90
927	1151	89
928	1152	88
929	1153	86
930	1154	85
931	1155	84
932	1156	83
933	1157	81
934	1158	80
935	1159	79
936	1160	78
937	1161	76
938	1162	75
939	1163	74
940	1164	73
941	1165	71
942	1167	70
943	1168	69
944	1169	68
945	1170	66
946	1171	65
947	1172	64
948	1173	63
949	1174	61
950	1175	60
951	1176	59
952	1177	58
953	1178	56
954	1179	55
955	1180	54
956	1181	53
957	1182	51
958	1183	50
959	1185	49
960	1186	48
961	1186	46
962	1187	45
963	1189	44
964	1190	43
965	1191	41
966	1192	40
967	1193	39
968	1194	38
969	1195	36
970	1196	35
971	1197	34
972	1198	33
973	1199	32
974	1200	30
975	1201	29
976	1202	28
977	1203	27
978	1204	25
979	1205	24
980	1206	23
981	1207	22
982	1208	20
983	1209	19
984	1210	18
985	1211	17
986	1212	15
987	1213	14
988	1214	13
989	1215	12
990	1216	11
991	1218	9
992	1219	8
993	1220	7
994	1221	6
995	1222	4
996	1223	3
997	1224	2
998	1225	1
999	1226	0
